Place,Car Num,Team,Penalty,Cost Score,Presentation Score,Design Score,Acceleration Score,Skid Pad Score,Autocross Score,Endurance Score,Efficiency Score,Total Score,Adjusted Cost,Average Adjusted Laptime,Fuel Efficiency Factor,Best Acceleration Time,Best Autocross Time,Endurance Time,Endurance Penalty,Adjusted Endurance Time,Endurance Time Score,Endurance Laps,Endurance Laps Score,Best Skidpad Time,Engine Cylinders,Engine Displacement (cc),Weight (kg),Best Time
<=75,31.0,Liberty Univ_2024,,78.6,51.5,80.0,,,,,,210.1,19115.0,,,,,,,,,,,,4.0,600.0,213.6,
<=75,110.0,Michigan Tech Univ_2024,,70.2,49.5,80.0,<50,>=30,>=50,,,329.8,18630.0,,,,57.307,,,,,,,5.711,2.0,500.0,236.8,5.453
<=25,101.0,Minnesota State University - Mankato_2024,,65.5,50.3,100.0,>=80,>=30,>=60,>=125,37.7,572.0,14081.0,169.86,0.465,,56.246,1654.603,,1698.603,106.4,10.0,25.0,5.742,4.0,600.0,210.0,4.399
<=25,91.0,Mississippi State Univ_2024,,70.2,48.9,80.0,>=70,>=50,>=60,>=125,100.0,621.0,16496.0,170.894,0.784,,55.065,1674.943,,1708.943,102.4,10.0,25.0,5.498,1.0,450.0,189.6,4.637
<=75,102.0,Missouri University of Science and Tech_2024,,57.9,30.7,80.0,>=70,>=50,<50,<25,,349.4,14530.0,,,,59.512,485.558,,,-,3.0,6.0,5.45,4.0,635.0,216.8,4.612
<=50,38.0,North Carolina State Univ - Raleigh_2024,,72.2,37.4,147.0,>90,>=50,>=90,>=10,,504.2,19385.0,,,,51.472,737.814,,,-,5.0,12.0,5.523,4.0,675.0,192.3,4.308
<=100,125.0,Northern Arizona Univ_2024,,30.6,50.8,15.0,,,,>=25,,121.4,19093.0,226.447,,,,2092.469,,2264.469,-,10.0,25.0,,4.0,600.0,244.9,
>100,130.0,Northern Illinois Univ_2024,,,40.0,10.0,,,,,,50.0,,,,,,,,,,,,,4.0,600.0,226.8,
<=25,57.0,Oakland University_2024,,84.5,42.9,100.0,>=60,>=60,>=50,>=175,47.3,648.9,16237.0,159.051,0.514,,56.728,1568.508,,1590.508,151.4,10.0,25.0,5.258,4.0,600.0,231.3,4.705
<=50,21.0,Oklahoma State Univ_2024,,51.1,44.2,60.0,>=70,>=50,>=60,>=25,37.4,421.6,16528.0,197.935,0.464,,56.377,1919.354,,1979.354,12.5,10.0,25.0,5.451,4.0,635.0,238.6,4.613
<=100,120.0,Oregon Inst of Tech_2024,,56.3,38.0,60.0,<50,>=15,<50,<25,,197.6,17136.0,,,,81.88,873.347,,,-,3.0,6.0,5.962,4.0,600.0,220.4,6.604
<=100,117.0,Pellissippi State Community College_2024,,64.4,51.3,20.0,,,,,,135.6,14897.0,,,,,,,,,,,,1.0,690.0,204.6,
>100,103.0,Penn State Univ - Harrisburg_2024,,41.8,38.0,20.0,,,,,,99.8,24772.0,,,,,,,,,,,,4.0,600.0,230.4,
<=100,19.0,Purdue Univ - Northwest_2024,,68.9,42.5,60.0,,,,,,171.4,18132.0,,,,,,,,,,,,4.0,600.0,200.5,
<=10,8.0,Purdue Univ - W Lafayette_2024,,72.2,65.9,100.0,>=70,>=60,>=70,>=175,32.5,684.1,25994.0,156.948,0.439,,53.655,1569.48,,1569.48,160.9,10.0,25.0,5.18,4.0,635.0,218.2,4.597
<=100,33.0,Rose Hulman Inst of Tech_2024,,75.3,33.2,60.0,,,<50,,,202.6,20073.0,,,,61.555,0.0,,,-,0.0,0.0,,1.0,480.0,174.6,
<=50,22.0,Sacramento State Univ_2024,,66.5,29.3,60.0,>=60,>=40,<50,>=100,12.2,426.5,18077.0,176.123,0.335,,59.672,1659.227,,1761.227,82.9,10.0,25.0,5.645,4.0,635.0,210.9,4.816
<=100,116.0,Saginaw Valley State Univ_2024,,47.9,25.8,50.0,,>=40,<50,<25,,177.0,17437.0,,,,100.211,444.301,,,-,2.0,4.0,5.658,4.0,600.0,201.4,
<=75,122.0,South Dakota School of Mines & Tech_2024,,40.6,52.4,65.0,,,>=60,,,227.5,19472.0,,,,54.879,,,,,,,,4.0,600.0,221.4,
<=100,93.0,South Dakota State Univ_2024,,39.1,20.0,75.0,<50,>=15,<50,>=10,,206.8,16565.0,,,,68.467,935.217,,,-,5.0,12.0,6.105,4.0,600.0,201.8,5.445
<=75,89.0,Southern Illinois Univ - Carbondale_2024,,33.7,28.9,60.0,>=50,>=40,<50,<25,,236.8,24836.0,,,,83.871,567.652,,,-,3.0,6.0,5.553,4.0,600.0,235.0,5.044
>100,128.0,St Cloud State Univ_2024,,9.3,10.0,40.0,,,,,,59.3,22243.0,,,,,,,,,,,,4.0,600.0,237.2,
<=100,58.0,Syracuse Univ_2024,-10.0,18.0,41.9,40.0,,>=15,<50,>=25,,141.2,31214.0,206.621,,,121.043,2024.21,,2066.21,-,10.0,25.0,6.095,4.0,600.0,270.3,
<=25,109.0,Temple Univ_2024,,65.5,45.2,120.0,>=60,>=40,>=70,>=150,52.0,636.2,17685.0,161.573,0.538,,54.586,1601.732,,1615.732,140.4,10.0,25.0,5.579,4.0,600.0,187.8,4.714
<=100,15.0,Tennessee Tech Univ_2024,,67.0,32.3,40.0,<50,<15,<50,,,197.0,9313.0,,,,74.464,,,,,,,6.988,2.0,625.0,170.6,5.145
<=5,35.0,Texas A & M Univ - College Station_2024,,84.9,42.4,100.0,>90,>=60,>=60,>=200,44.3,746.4,16680.0,145.697,0.499,,55.968,1456.973,,1456.973,216.2,10.0,25.0,5.243,4.0,600.0,200.5,4.206
<=75,90.0,Texas Tech Univ_2024,,88.9,31.5,80.0,,<15,<50,,,210.3,14531.0,,,,84.948,,,,,,,6.798,1.0,450.0,187.8,
1,3.0,The Ohio State University_2024,,80.1,73.6,144.0,>90,>=60,>100,>250,51.3,907.6,23089.0,139.589,0.535,,46.911,1389.891,,1395.891,250,10.0,25.0,5.346,4.0,600.0,201.4,4.271
>100,88.0,UP Aguascalientes_2024,,-3.1,40.9,,,,,,,37.8,15219.0,,,,,,,,,,,,4.0,600.0,,
<=75,113.0,US Air Force Academy_2024,,45.1,26.9,15.0,<50,>=15,<50,>=25,84.4,245.4,17261.0,198.295,0.704,,67.265,1850.95,,1982.95,11.5,10.0,25.0,6.018,1.0,450.0,201.4,6.808
<=50,86.0,Univ of Akron_2024,,76.9,27.0,100.0,>=70,>=60,>=80,,,428.3,20001.0,,,,51.715,0.0,,,-,0.0,0.0,5.345,1.0,450.0,181.4,4.663
<=25,76.0,Univ of Alabama - Tuscaloosa_2024,,73.2,41.6,100.0,>90,>=50,>=80,>=150,38.0,658.2,28134.0,161.557,0.467,,52.02,1459.573,120.0,1615.573,140.5,10.0,25.0,5.428,4.0,600.0,219.5,4.277
<=75,84.0,Univ of British Columbia_2024,,68.6,44.6,125.0,,,,,,238.2,25300.0,,,,,0.0,,,-,0.0,0.0,,4.0,600.0,202.8,
<=5,30.0,Univ of Calif - Berkeley_2024,,68.3,40.1,120.0,>=50,>=50,>100,>250,96.1,813.8,20048.0,141.824,0.764,,48.418,1396.241,,1418.241,237.3,10.0,25.0,5.403,1.0,450.0,168.3,4.992
<=100,48.0,Univ of Central Florida_2024,,67.8,45.4,80.0,,,,,,193.2,24810.0,,,,,,,,,,,,4.0,635.0,194.6,
<=25,14.0,Univ of Cincinnati_2024,,64.0,42.4,80.0,>=60,>=60,>=90,>=125,37.5,592.2,17334.0,165.928,0.464,,50.844,1485.276,120.0,1659.276,122.1,10.0,25.0,5.384,2.0,690.0,204.6,4.782
<=75,94.0,Univ of Colorado - Boulder_2024,,63.9,28.1,75.0,>=70,<15,<50,>=10,,309.1,18891.0,,,,58.409,899.433,,,-,5.0,12.0,6.385,2.0,690.0,213.6,4.641
<=5,127.0,Univ of Connecticut_2024,,76.3,67.1,100.0,>90,>=60,>=90,>=200,27.7,747.4,20786.0,148.491,0.414,,51.03,1364.914,120.0,1484.914,201.7,10.0,25.0,5.328,4.0,600.0,223.6,4.337
>100,72.0,Univ of Delaware_2024,,3.8,40.3,10.0,,,,>=25,,79.1,12741.0,237.065,,,,1978.65,150.0,2370.65,-,10.0,25.0,,4.0,635.0,233.1,
<=75,87.0,Univ of Georgia_2024,,56.5,35.5,60.0,>=50,>=50,<50,<25,,310.3,13327.0,,,,58.747,190.242,,,-,1.0,2.0,5.459,4.0,600.0,230.9,5.032
<=75,71.0,Univ of Hartford_2024,,80.8,43.1,80.0,,>=15,<50,>=10,,264.7,17867.0,,,,62.758,957.0,,,-,5.0,12.0,6.086,1.0,450.0,188.2,
<=50,60.0,Univ of Illinois - Chicago_2024,,88.1,41.9,60.0,>=70,>=50,>=50,>=50,19.0,472.5,13254.0,183.678,0.37,,58.206,1792.782,,1836.782,56.6,10.0,25.0,5.438,4.0,600.0,215.5,4.619
<=50,47.0,Univ of Kentucky_2024,,68.2,51.8,75.0,>=70,>=15,<50,>=25,,371.1,15750.0,203.452,,,59.904,1960.521,,2034.521,-,10.0,25.0,5.896,4.0,600.0,213.6,4.535
<=100,118.0,Univ of Manitoba_2024,,78.4,38.0,60.0,,,,,,176.4,21829.0,,,,,,,,,,,,1.0,450.0,218.6,
<=50,49.0,Univ of Maryland - College Park_2024,,71.7,45.1,95.0,>=80,>=60,>=50,,,421.6,21191.0,,,,57.559,,,,,,,5.219,4.0,600.0,223.6,4.465
<=75,66.0,Univ of Michigan - Dearborn_2024,,83.7,62.0,80.0,<50,>=40,>=50,,,356.8,17193.0,,,,58.004,,,,,,,5.687,1.0,450.0,192.8,5.369
<=25,67.0,Univ of Minnesota - Twin Cities_2024,,71.6,56.2,95.0,>=80,>=60,>=80,>=100,23.0,599.7,24960.0,174.206,0.391,,51.955,1504.06,120.0,1742.06,89.9,10.0,25.0,5.241,4.0,600.0,214.5,4.511
<=100,136.0,Univ of Minnesota-Duluth_2024,,55.3,47.5,20.0,,,,,,122.9,12712.0,,,,,,,,,,,,1.0,450.0,235.9,
<=25,55.0,Univ of Missouri_2024,,76.9,48.3,60.0,>=50,>=60,>=50,>=175,20.1,591.2,19593.0,155.133,0.376,,56.563,1515.326,,1551.326,169.3,10.0,25.0,5.18,4.0,600.0,232.7,4.954
<=25,98.0,Univ of Nebraska - Lincoln_2024,,76.9,40.5,100.0,>=80,>=50,>=90,>=50,20.5,559.5,13032.0,183.506,0.378,,51.31,1663.055,120.0,1835.055,57.2,10.0,25.0,5.392,4.0,635.0,208.7,4.4
<=5,9.0,Univ of North Carolina - Charlotte_2024,,76.6,69.1,100.0,>=60,>=60,>=90,>250,81.8,817.2,24965.0,142.896,0.691,,50.329,1408.963,,1428.963,231.4,10.0,25.0,5.243,1.0,450.0,169.2,4.811
<=50,99.0,Univ of North Florida_2024,,80.1,44.6,70.0,>=60,>=50,>=70,>=10,18.3,425.3,20950.0,171.66,0.366,,54.063,1444.939,,,-,9.0,20.0,5.473,4.0,600.0,228.6,4.819
<=75,42.0,Univ of Oklahoma_2024,,52.3,48.1,70.0,>90,>=30,<50,>=10,,350.8,25153.0,175.488,,,60.061,952.93,,,-,6.0,14.0,5.863,4.0,635.0,231.8,4.303
<=100,131.0,Univ of Ottawa_2024,,51.8,35.6,60.0,,,<50,>=25,,205.6,14225.0,210.329,,,61.763,1727.287,,2103.287,-,10.0,25.0,,4.0,600.0,205.0,
<=75,73.0,Univ of Puerto Rico-Mayaquez_2024,,50.0,20.4,80.0,>=70,>=40,>=70,>=25,,359.7,17699.0,217.049,,,54.671,1872.486,120.0,2170.486,-,10.0,25.0,5.677,4.0,600.0,199.6,4.665
<=75,121.0,Univ of Saskatchewan_2024,,66.6,37.4,50.0,>=70,>=40,>=60,<25,,339.4,16578.0,,,,56.296,677.894,,,-,4.0,8.0,5.625,4.0,600.0,240.4,4.676
<=25,83.0,Univ of South Florida_2024,,86.8,48.1,60.0,>90,>=50,>=80,>=125,37.1,596.2,18932.0,169.939,0.463,,52.303,1535.388,120.0,1699.388,106.1,10.0,25.0,5.509,4.0,600.0,219.5,4.275
<=50,105.0,Univ of Southern California_2024,,61.1,55.5,100.0,>=60,>=50,>=50,>=10,41.1,443.4,22365.0,192.632,0.483,,58.186,1342.426,,,-,7.0,16.0,5.477,4.0,600.0,220.4,4.798
<=50,29.0,Univ of Texas - Austin_2024,,47.3,39.7,100.0,<50,>=30,>=60,>=10,60.5,400.4,21840.0,175.147,0.582,,55.947,837.734,,,-,5.0,12.0,5.886,4.0,600.0,217.3,5.154
<=50,44.0,Univ of Texas - Dallas_2024,,64.0,54.4,60.0,>=50,>=60,>=60,>=100,9.6,480.7,18791.0,175.074,0.322,,56.407,1686.742,,1750.742,86.7,10.0,25.0,5.377,4.0,600.0,249.5,4.899
>100,79.0,Univ of Texas - San Antonio_2024,,57.4,,15.0,,,,,,72.4,15209.0,,,,,,,,,,,,4.0,600.0,233.6,
<=50,95.0,Univ of Toledo_2024,,44.6,32.5,35.0,<50,>=40,<50,>=100,88.9,440.6,18361.0,175.434,0.727,,59.294,1722.337,,1754.337,85.4,10.0,25.0,5.613,2.0,470.0,232.2,5.359
<=50,20.0,Univ of Victoria_2024,,87.1,54.9,100.0,>=60,>=40,>=70,>=10,,438.9,17607.0,194.414,,,54.761,1216.898,120.0,,-,7.0,16.0,5.674,4.0,600.0,211.8,4.724
<=25,135.0,Univ of Wisconsin - Madison_2024,,76.2,56.8,145.0,>=70,>=50,>=70,>=10,73.1,569.0,21207.0,198.65,0.646,,54.446,1176.547,120.0,,-,7.0,16.0,5.508,2.0,690.0,215.0,4.562
<=50,26.0,Univ of Wisconsin - Platteville_2024,,50.1,30.7,60.0,>=50,>=30,>=60,>=125,52.2,477.1,16173.0,168.472,0.54,,55.923,1662.723,,1684.723,111.9,10.0,25.0,5.862,2.0,690.0,245.4,5.047
<=100,78.0,Univ of the Pacific_2024,,74.2,27.3,,,,<50,>=10,,119.9,11024.0,,,,89.459,955.282,,,-,5.0,12.0,,4.0,560.0,,
<=100,133.0,Universidad Autonoma Estado Mexico_2024,,58.6,29.3,20.0,,,,,,107.9,16145.0,,,,,,,,,,,,4.0,600.0,246.3,
>100,138.0,Universidad Autonoma de Baja California_2024,-10.0,29.1,,10.0,,,,,,29.1,15057.0,,,,,,,,,,,,4.0,600.0,294.8,
<=100,43.0,Universidad Panamericana Sede Guadalajar_2024,,54.7,32.8,20.0,,,,,,107.5,14641.0,,,,,,,,,,,,4.0,600.0,269.4,
<=50,40.0,Universite de Sherbrooke_2024,,78.8,26.8,80.0,>=70,>=40,<50,>=125,40.0,528.3,16410.0,169.31,0.477,,59.566,1647.104,,1693.104,108.6,10.0,25.0,5.568,2.0,500.0,200.5,4.575
<=50,77.0,Vanderbilt Univ_2024,,66.7,60.0,60.0,<50,>=30,<50,>=125,94.4,523.7,13901.0,170.877,0.755,,60.939,1700.772,,1708.772,102.5,10.0,25.0,5.78,1.0,500.0,162.8,5.272
<=10,16.0,Villanova Univ_2024,,83.0,52.9,100.0,>=80,>=50,>=60,>=200,28.9,673.3,12240.0,151.741,0.421,,56.103,1509.413,,1517.413,185.5,10.0,25.0,5.48,4.0,600.0,206.8,4.493
<=50,107.0,Virginia Tech_2024,,72.9,41.8,105.0,>=60,>=40,>=60,>=10,61.5,476.8,26892.0,199.501,0.587,,55.123,1073.004,120.0,,-,6.0,14.0,5.601,1.0,450.0,176.4,4.749
<=100,62.0,Washington State Univ_2024,,46.5,22.0,55.0,>=50,<15,,,,177.7,18427.0,,,,,,,,,,,6.933,4.0,650.0,258.1,5.081
<=50,104.0,Washington Univ - St Louis_2024,,84.1,41.6,90.0,>=70,>=60,<50,>=25,,420.8,20226.0,215.332,,,59.106,1913.321,,2153.321,-,10.0,25.0,5.358,4.0,600.0,213.2,4.664
<=100,61.0,Wayne State Univ_2024,,70.5,26.2,60.0,,,,,,156.7,17685.0,,,,,,,,,,,,4.0,600.0,209.6,
<=100,64.0,West Virginia Univ_2024,,64.5,34.3,60.0,,,,,,158.8,20603.0,,,,,,,,,,,,1.0,450.0,198.2,
<=75,46.0,York College of Pennsylvania_2024,,42.6,32.5,80.0,>=60,>=30,<50,>=25,,308.1,24193.0,220.334,,,63.661,1995.336,,2203.336,-,10.0,25.0,5.798,4.0,600.0,253.1,4.726
